key,value
enst,3855929892
aest,3730837582
erst,3621696158
aert,3524894124
aent,3514957268
enrt,3329421238
anst,3225182352
eist,3124110288
eirt,3055982326
cent,3030210550
cest,2997696158
epst,2994976686
acet,2913487652
ehst,2906573422
aers,2889362518
cert,2869965506
aelt,2861265142
aist,2861193042
estu,2855412640
eint,2813463930
aenr,2810557064
emst,2810476090
arst,2807738354
eprt,2804344952
acst,2778829812
elst,2758279254
enrs,2756829330
entu,2755612630
ehnt,2740668642
eort,2712486430
estx,2703127864
eirs,2697044912
aelr,2684558032
esty,2681504338
alst,2681297194
aemt,2680092146
dest,2673219656
enpt,2672926274
ehrt,2641975866
emnt,2641781240
acnt,2629480730
aemr,2629466072
aens,2624651670
emrt,2617710628
inst,2616821210
eprs,2596476066
eost,2591611178
acer,2590651142
aeit,2580660082
aept,2564588556
aepr,2560788294
estv,2557632590
elnt,2555115798
apst,2551439036
aeir,2548295064
entx,2547855872
ertu,2536665618
aeht,2525945276
einr,2523473414
enot,2521499156
astu,2520400128
enor,2494388214
adet,2478540502
dent,2478084452
nstu,2468937230
elrt,2463073350
best,2463003618
enty,2458701404
egst,2450019592
cenr,2449748542
ertx,2449101818
dert,2443281066
asty,2442447210
efst,2441891034
entv,2439593422
ahst,2437212880
empr,2434758186
irst,2431958752
airt,2427991342
eors,2427425376
cnst,2418377030
ceir,2413353708
enpr,2411500514
erty,2410371836
aetv,2407498988
eopr,2399444962
eipr,2390694486
estw,2379798592
ader,2376020186
eimr,2371974190
aint,2368683210
adst,2365278710
emrs,2365149658
emor,2362579898
amst,2359555852
eqst,2355024514
aetx,2352102500
estz,2340836316
anrt,2333599960
emnr,2333529668
aclt,2332923876
aetu,2329899848
aeor,2326428074
ceit,2321780530
ekst,2317106344
ejst,2312165960
aost,2308824762
bent,2301619934
deir,2300162812
ertv,2296318786
alnt,2296270264
egnt,2295989582
acit,2288881004
astv,2287449092
acrt,2286025422
enru,2282086528
cist,2280254886
cers,2280159290
aeln,2277655898
aety,2277519978
aerv,2275652498
elor,2275630306
efnt,2274428620
eior,2267402170
aels,2267349888
eilr,2266526978
efrt,2265152934
agst,2264747760
nost,2257234720
egrt,2256857682
acen,2251951604
ersu,2244811678
bert,2242229222
antu,2238736644
afst,2236464500
abet,2236255092
abst,2232296036
enps,2210283396
ensu,2208984698
ceor,2206312420
eins,2199752524
enqt,2198470038
aeft,2195269458
aegt,2195236542
entw,2190216552
elrs,2186871786
entz,2186461110
cens,2185630342
deor,2184333632
npst,2182601074
celt,2179888216
ders,2175998982
hnst,2174760566
eknt,2171780304
hist,2169971842
ehit,2165572042
aegr,2161788916
astx,2155026692
aemn,2154592102
cepr,2153577894
aber,2149986150
nsty,2146452956
acel,2141978126
ailt,2137809160
nrst,2135089788
emns,2134446278
aerx,2129536982
ceht,2127779090
aefr,2127121216
celr,2127119302
ejnt,2126081426
ertw,2125903646
elnr,2120783190
denr,2117938638
aeru,2113999244
aems,2109817486
astw,2107165550
cemr,2106792596
eqrt,2101743730
aeot,2095913518
akst,2090958184
ahnt,2089444626
ertz,2086011084
ersx,2085861988
ajst,2081518512
ehir,2075175260
enrx,2067664856
aort,2064626276
ipst,2060067736
elpr,2059103404
anot,2056849266
enrv,2050121434
egir,2049608642
ekrt,2048096696
anpt,2047525150
epru,2047426060
aelm,2045381052
eprx,2045002964
empt,2042409816
depr,2040583052
aeps,2039005980
astz,2038987540
anty,2037780802
aqst,2037080280
cint,2036139760
cemt,2033480474
cept,2033439960
istu,2033099924
ersv,2031085742
eilt,2028824400
ejrt,2027694656
eirv,2026585028
elns,2024140242
egrs,2021871608
aehr,2021138806
alrt,2021017552
orst,2020841140
elmr,2011662856
eirx,2010444826
amnt,2008997528
eimt,2008190576
ehrs,2007066594
aces,2005967746
egnr,2004916458
aetw,2001465212
ehpt,1999357160
aprt,1995733564
ersy,1994619376
demr,1994117906
adnt,1988280032
deit,1988273440
antv,1987546450
aeqt,1986577222
aery,1985335374
efir,1982711050
bers,1982034318
enos,1981664110
eipt,1980085060
efrs,1979042434
ehnr,1978236674
aetz,1976595912
dist,1968143844
benr,1957725494
dens,1956028376
aekt,1953688972
beir,1951207816
ehmt,1950019452
efnr,1948654880
epry,1948429210
emrx,1948342908
eiru,1947976532
isty,1947270856
ilst,1941988648
efor,1941807488
cetu,1939142750
ehpr,1937525134
emru,1935961084
cetx,1931395154
aenp,1930425034
ensx,1929842050
aejt,1929092514
agnt,1928854276
iost,1928521366
airs,1925673854
cirt,1925265992
eprv,1921620766
aenv,1919982552
ensv,1919586386
aden,1911878990
enry,1908891302
aerw,1908214886
eirw,1907787462
aeis,1904008978
cder,1900139334
emps,1899797876
beor,1898592948
eorx,1898133748
lnst,1897972170
ades,1893544728
eorv,1892331588
ersw,1891847908
celn,1890399068
abnt,1889048878
acht,1888436268
gnst,1888325120
dnst,1887646980
afnt,1887138612
prst,1886638898
ahit,1882178320
cdet,1878721454
bemr,1877606286
emrv,1876859458
ehlt,1874893342
